100,39,29,3
101,38,29,2
102,35,12,22
103,40,3,36
104,13,6,7
105,17,10,1
106,5,5,0
107,44,26,6
108,51,8,3
109,62,3,56
110,52,42,0
111,44,17,27
112,58,43,2
113,16,5,0
114,24,19,5
115,51,29,21
116,65,14,18
118,28,18,4
119,45,27,17
120,38,38,0
121,57,3,33
122,50,12,35
123,19,15,4
124,63,31,22
126,39,0,17
127,43,23,13
128,41,23,16
129,39,3,0
130,6,0,2
131,34,2,8
132,12,5,2
133,57,28,26
134,44,31,9
135,46,27,1
136,8,8,0
137,58,43,3
138,34,27,5
139,29,15,14
140,8,0,1
141,33,11,11
143,39,3,25
144,60,14,41
145,40,24,8
146,62,31,8
147,50,6,29
148,36,6,16
149,43,14,9
150,17,9,3
151,53,28,1
152,51,42,4
153,44,13,19
154,62,56,3
155,57,1,6
156,38,20,14
157,59,38,8
158,45,8,13
159,28,8,8
160,63,59,4
161,62,23,39
162,9,5,0
163,38,7,7
164,19,7,5
165,22,2,12
166,24,24,0
167,23,2,13
168,29,11,4
169,62,45,2
170,5,4,1
171,22,2,6
172,54,4,36
173,17,16,1
174,53,51,1
175,22,15,6
176,7,1,1
177,51,25,0
178,43,21,4
179,55,1,30
180,60,32,0
181,39,10,28
182,43,33,0
183,24,16,0
184,9,3,5
186,24,6,1
187,44,14,9
188,23,8,6
189,48,6,19
190,47,3,18
191,8,5,3
192,54,16,9
193,19,1,15
194,55,4,11
195,21,4,5
196,43,34,2
197,50,33,13
198,60,29,18
199,9,6,3
200,12,10,0
201,57,52,2
202,55,51,1
203,17,9,0
204,42,1,18
205,45,37,1
206,19,6,3
207,49,0,10
208,63,53,6
209,21,21,0
210,36,20,12
211,46,3,7
212,11,9,2
213,17,7,9
214,56,39,7
215,12,5,0
216,58,22,7
217,21,4,9
218,41,5,4
219,16,5,0
220,56,48,5
221,50,33,14
222,29,14,2
223,41,23,11
225,13,0,1
226,44,26,7
227,61,51,0
228,57,47,1
229,49,5,31
230,7,0,7
231,46,2,40
232,44,39,5
233,21,2,3
234,29,4,16
235,5,2,1
236,29,20,4
237,11,5,2
238,16,0,14
239,62,28,17
240,40,10,12
241,6,2,3
242,64,24,14
243,36,34,2
244,64,51,7
245,20,10,1
246,64,22,39
247,57,50,1
249,38,15,2
250,16,14,2
251,19,8,11
252,56,17,1
254,10,2,1
256,40,21,11
257,8,7,1
258,21,0,9
259,54,28,15
260,22,10,8
261,27,22,1
262,59,48,11
263,43,31,2
264,57,12,35
265,64,51,13
266,44,29,10
267,33,23,8
268,60,55,2
269,7,1,4
270,15,1,5
271,32,17,3
272,64,10,52
274,28,18,7
275,62,26,27
276,36,16,19
277,29,26,0
278,58,6,52
279,10,2,0
280,16,13,2
281,26,23,2
282,6,5,1
283,62,46,10
284,8,1,7
285,19,16,3
286,29,10,8
287,17,16,1
288,14,14,0
289,63,30,14
290,5,4,1
291,26,1,14
292,54,4,20
293,16,2,3
294,62,52,4
295,59,29,8
296,18,6,12
297,61,34,11
298,12,1,2
299,34,3,11
300,21,10,6
301,47,16,25
302,42,33,0
303,37,1,25
304,65,46,13
305,28,26,2
306,59,44,14
307,27,0,8
308,15,4,9
309,53,19,19
310,12,2,0
311,43,8,4
312,7,1,0
313,17,15,0
314,20,0,7
315,55,49,2
316,26,10,8
317,13,4,3
318,20,8,9
319,7,6,0
320,25,24,0
321,12,3,1
322,54,46,8
323,40,8,15
324,42,30,2
325,35,23,0
326,14,8,5
327,42,42,0
328,9,4,1
329,54,38,6
330,38,11,11
