100,13,8,2
102,54,47,4
103,65,33,12
104,40,37,2
105,59,48,4
106,18,14,3
107,20,14,2
108,22,9,11
109,55,53,2
110,11,8,3
111,56,23,15
112,51,18,14
113,56,18,29
114,59,50,5
115,50,40,10
116,22,22,0
117,31,5,3
118,63,24,14
119,62,2,15
121,47,32,15
122,65,5,47
123,15,14,1
124,14,9,4
125,22,22,0
126,23,1,0
127,16,5,3
128,61,46,5
129,17,13,3
130,33,18,11
131,16,4,1
132,47,31,6
133,61,9,13
134,51,17,30
135,25,23,0
137,36,24,6
138,6,3,3
139,56,23,14
140,11,5,0
141,45,43,0
142,63,40,21
143,47,13,9
144,21,14,0
145,37,6,31
146,20,13,3
147,59,57,1
148,34,0,31
149,59,41,16
150,33,6,3
151,65,41,13
153,38,17,3
154,54,47,7
155,10,8,0
156,32,27,3
157,51,4,28
158,28,1,14
159,54,42,2
160,31,23,0
161,28,19,0
162,41,8,32
163,62,21,33
164,17,0,6
165,36,0,21
166,65,30,27
167,63,27,33
168,44,26,9
169,50,48,2
170,51,20,7
171,50,22,10
172,13,3,4
173,30,2,3
174,51,43,6
175,60,53,2
176,43,21,10
177,31,31,0
178,27,13,6
179,57,55,0
180,65,14,31
181,46,15,31
182,12,2,8
183,55,24,30
184,28,18,9
185,23,20,3
186,49,10,10
187,46,36,1
188,6,3,1
190,10,4,6
191,53,23,30
192,14,9,4
193,50,48,1
194,32,32,0
195,38,16,9
196,20,7,3
197,7,5,2
198,5,0,2
199,17,5,0
200,54,51,3
201,64,28,33
203,49,17,12
204,38,6,7
205,43,22,4
206,30,11,7
207,23,4,2
208,26,8,8
210,31,3,1
211,47,31,0
212,5,5,0
213,58,19,0
214,39,2,15
215,23,2,8
216,18,4,12
217,23,18,5
218,50,1,49
219,39,35,4
220,13,3,5
221,46,12,10
222,15,3,9
223,41,28,1
224,51,45,5
225,46,8,13
226,53,19,14
227,64,59,5
228,48,12,28
229,17,17,0
230,36,9,12
231,18,18,0
232,5,2,0
233,62,29,21
234,43,42,1
235,51,28,8
236,51,41,4
237,34,33,1
238,47,1,34
239,62,39,13
240,48,32,1
241,28,23,1
242,12,9,3
243,39,27,11
244,47,31,4
245,28,19,1
246,65,48,4
247,39,10,9
248,34,7,27
249,8,6,2
250,39,8,28
251,44,34,8
252,28,15,7
253,27,11,9
254,65,10,11
255,38,24,0
256,6,5,1
257,19,16,1
258,47,0,6
259,55,29,3
260,48,23,8
261,37,5,18
262,31,13,15
263,41,39,1
264,21,9,0
265,55,37,12
266,21,20,0
267,23,2,13
268,5,4,1
269,57,12,11
270,5,2,1
271,20,7,6
272,11,9,0
273,28,1,26
274,59,44,11
275,56,33,4
276,44,24,20
277,65,48,12
278,59,17,34
279,62,36,26
280,19,5,1
281,29,3,8
282,7,4,3
283,46,30,1
285,7,1,6
286,61,34,24
288,21,11,8
289,14,0,12
290,54,24,6
291,61,15,26
292,7,3,4
293,17,13,1
294,10,0,5
295,57,11,18
296,32,6,6
297,43,23,14
298,60,39,17
299,13,3,7
300,39,12,25
301,55,10,4
302,45,33,12
303,10,10,0
304,33,24,9
305,42,37,2
306,65,42,0
307,35,3,1
308,33,23,3
309,31,14,16
310,18,9,6
311,61,3,9
312,54,17,19
313,54,20,12
314,54,29,15
315,34,3,11
316,31,22,8
317,37,6,21
318,55,30,25
319,24,1,3
320,8,4,4
321,44,30,6
322,8,6,1
